ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	22	2	2	0.000000	292.045455	291.181818	0.000000	0.000000	0	192	0
2	38	1	1	0.000000	127.236842	127.236842	0.000000	0.000000	0	63	0
3	16	2	3	0.000000	522.750000	320.750000	0.000000	0.000000	0	323	0
4	5	2	2	0.000000	394.000000	392.200000	0.000000	0.000000	0	182	0
5	4	0	1	0.000000	262.500000	262.500000	0.000000	0.000000	0	118	0
6	42	1	1	0.000000	482.404762	388.714286	0.000000	0.000000	0	391	0
7	5	2	2	0.000000	557.400000	272.000000	0.000000	0.000000	0	277	0
8	10	1	1	0.000000	430.800000	226.900000	0.000000	0.000000	0	227	0
9	36	1	2	0.000000	581.305556	381.222222	0.000000	0.000000	0	347	0
10	2	2	2	0.000000	1024.000000	550.500000	0.000000	0.000000	0	457	0
11	44	1	1	0.000000	384.272727	168.340909	0.000000	0.000000	0	448	0
12	22	1	2	0.000000	561.454545	556.045455	0.000000	0.000000	0	345	0
13	11	2	2	0.000000	986.000000	767.545455	0.000000	0.000000	0	563	0
14	32	2	1	0.000000	901.156250	512.468750	0.000000	0.000000	0	737	0
15	3	2	1	0.000000	983.666667	212.666667	0.000000	0.000000	0	524	0
16	7	1	1	0.000000	863.000000	177.857143	0.000000	0.000000	0	472	0
17	15	2	2	0.000000	1146.133333	232.400000	0.000000	0.000000	0	670	0
18	21	1	2	0.000000	1073.952381	820.619048	0.000000	0.000000	0	662	0
19	3	2	2	0.000000	1245.666667	1245.000000	0.000000	0.000000	0	649	0
20	15	1	1	0.000000	597.933333	449.600000	0.000000	0.000000	0	338	0
21	31	1	1	0.000000	137.967742	137.774194	0.000000	0.000000	0	92	0
22	3	1	2	0.000000	676.333333	670.666667	0.000000	0.000000	0	339	0
23	17	3	2	0.000000	808.882353	393.352941	0.000000	0.000000	0	436	0
24	7	1	1	0.000000	542.142857	268.000000	0.000000	0.000000	0	270	0
25	8	2	3	0.000000	948.875000	519.375000	0.000000	0.000000	0	477	0
26	3	1	1	0.000000	834.000000	220.333333	0.000000	0.000000	0	404	0
27	39	1	1	0.000000	250.743590	249.641026	0.000000	0.000000	0	172	0
28	21	2	2	0.000000	782.809524	486.714286	0.000000	0.000000	0	475	0
29	37521	1	1	0.000000	148.557048	144.672637	0.000000	0.000000	0	23634	0
30	10	2	1	0.000000	418.300000	415.400000	0.000000	0.000000	0	217	0
31	241	2	2	0.000000	569.738589	412.643154	0.000000	0.000000	0	914	0
32	19	1	1	0.000000	304.263158	303.684211	0.000000	0.000000	0	218	0
33	3	2	2	0.000000	695.333333	556.000000	0.000000	0.000000	0	350	0
34	9	1	1	0.000000	412.222222	411.222222	0.000000	0.000000	0	218	0
35	6	2	2	0.000000	801.166667	799.333333	0.000000	0.000000	0	424	0
36	35	2	1	0.000000	582.342857	454.085714	0.000000	0.000000	0	388	0
37	44	1	1	0.000000	295.227273	289.659091	0.000000	0.000000	0	212	0
38	16	1	2	0.000000	372.562500	339.562500	0.000000	0.000000	0	230	0
39	19	1	1	0.000000	252.315789	252.315789	0.000000	0.000000	0	140	0
40	2	1	2	0.000000	952.500000	286.000000	0.000000	0.000000	0	463	0
41	15	2	1	0.000000	417.400000	258.666667	0.000000	0.000000	0	228	0
42	23	1	1	0.000000	283.521739	245.347826	0.000000	0.000000	0	177	0
43	1	1	2	0.000000	554.000000	549.000000	0.000000	0.000000	0	277	0
44	18	2	2	0.000000	524.777778	246.333333	0.000000	0.000000	0	323	0
45	24	2	1	0.000000	377.916667	195.125000	0.000000	0.000000	0	253	0
46	70	1	1	0.000000	313.071429	237.614286	0.000000	0.000000	0	228	0
47	3	2	2	0.000000	559.666667	557.666667	0.000000	0.000000	0	279	0
48	36	1	1	0.000000	722.888889	490.083333	0.000000	0.000000	0	474	0
49	1	2	2	0.000000	1136.000000	1128.000000	0.000000	0.000000	0	562	0
50	1	2	1	0.000000	981.000000	973.000000	0.000000	0.000000	0	492	0
51	11	2	1	0.000000	827.272727	821.181818	0.000000	0.000000	0	434	0
52	41	1	1	0.000000	151.707317	150.170732	0.000000	0.000000	0	101	0
53	25	0	2	0.000000	316.760000	315.440000	0.000000	0.000000	0	240	0
54	1	1	1	0.000000	459.000000	459.000000	0.000000	0.000000	0	13	0
55	35	1	2	0.000000	733.942857	704.200000	0.000000	0.000000	0	571	0
56	14	2	2	0.000000	987.142857	572.071429	0.000000	0.000000	0	592	0
57	6	2	1	0.000000	408.666667	186.166667	0.000000	0.000000	0	243	0
58	55	1	1	0.000000	264.109091	213.145455	0.000000	0.000000	0	228	0
59	17	2	2	0.000000	917.411765	585.823529	0.000000	0.000000	0	540	0
60	1	2	1	0.000000	510.000000	248.000000	0.000000	0.000000	0	255	0
61	40	2	2	0.000000	324.350000	247.525000	0.000000	0.000000	0	262	0
62	31	1	1	0.000000	229.129032	226.354839	0.000000	0.000000	0	172	0
63	11	1	2	0.000000	437.727273	433.454545	0.000000	0.000000	0	232	0
64	23	2	2	0.000000	500.173913	494.130435	0.000000	0.000000	0	325	0
65	22	1	1	0.000000	373.318182	313.681818	0.000000	0.000000	0	220	0
66	17	2	2	0.000000	886.941176	431.117647	0.000000	0.000000	0	498	0
67	39	1	1	0.000000	162.230769	160.615385	0.000000	0.000000	0	167	0
68	47	1	2	0.000000	168.425532	124.808511	0.000000	0.000000	0	178	0
69	5	1	2	0.000000	634.800000	241.000000	0.000000	0.000000	0	346	0
70	19	2	1	0.000000	255.894737	171.684211	0.000000	0.000000	0	128	0
71	38	1	1	0.000000	132.631579	131.973684	0.000000	0.000000	0	81	0
72	36	1	2	0.000000	267.722222	264.944444	0.000000	0.000000	0	158	0
73	31	1	1	0.000000	110.032258	109.387097	0.000000	0.000000	0	61	0
74	8	2	2	0.000000	381.750000	380.750000	0.000000	0.000000	0	197	0
75	10	2	1	0.000000	308.600000	185.700000	0.000000	0.000000	0	172	0
76	44	1	1	0.000000	146.318182	145.159091	0.000000	0.000000	0	109	0
77	23	1	2	0.000000	517.521739	364.000000	0.000000	0.000000	0	326	0
78	59	1	1	0.000000	295.118644	190.542373	0.000000	0.000000	0	228	0
79	1	1	1	0.000000	765.000000	765.000000	0.000000	0.000000	0	17	0
80	51	1	2	0.000000	145.431373	145.156863	0.000000	0.000000	0	255	0
81	38	1	1	0.000000	255.973684	254.500000	0.000000	0.000000	0	179	0
82	57	1	1	0.000000	435.929825	405.473684	0.000000	0.000000	0	318	0
83	42	1	1	0.000000	117.714286	117.261905	0.000000	0.000000	0	83	0
84	38	1	1	0.000000	112.447368	111.973684	0.000000	0.000000	0	76	0
85	3	1	2	0.000000	271.333333	268.333333	0.000000	0.000000	0	139	0
86	7	1	2	0.000000	394.285714	388.428571	0.000000	0.000000	0	200	0
87	1	2	1	0.000000	664.000000	659.000000	0.000000	0.000000	0	316	0
88	34	1	1	0.000000	126.058824	123.852941	0.000000	0.000000	0	72	0
89	52	2	2	0.000000	170.115385	168.019231	0.000000	0.000000	0	248	0
90	12	2	2	0.000000	1315.333333	181.333333	0.000000	0.000000	0	714	0
91	19	1	2	0.000000	516.105263	483.842105	0.000000	0.000000	0	318	0
92	48	2	1	0.000000	416.375000	256.895833	0.000000	0.000000	0	294	0
93	10	1	1	0.000000	137.900000	137.300000	0.000000	0.000000	0	81	0
94	44	0	2	0.000000	435.931818	362.477273	0.000000	0.000000	0	349	0
95	5	0	0	0.000000	276.800000	274.400000	0.000000	0.000000	0	150	0
96	3	1	1	0.000000	196.000000	195.666667	0.000000	0.000000	0	87	0
97	3	1	1	0.000000	921.333333	602.000000	0.000000	0.000000	0	491	0
98	25	2	1	0.000000	555.840000	546.200000	0.000000	0.000000	0	383	0
99	6	1	1	0.000000	522.833333	209.166667	0.000000	0.000000	0	271	0
100	18	1	1	0.000000	277.055556	274.055556	0.000000	0.000000	0	157	0
101	10	2	2	0.000000	584.700000	581.300000	0.000000	0.000000	0	326	0
102	11	1	1	0.000000	443.818182	440.818182	0.000000	0.000000	0	251	0
103	19	1	1	0.000000	134.263158	133.736842	0.000000	0.000000	0	79	0
104	31	1	1	0.000000	199.903226	197.612903	0.000000	0.000000	0	167	0
105	37	1	1	0.000000	402.000000	399.324324	0.000000	0.000000	0	278	0
106	130746	2	1	0.000000	150.121633	0.290464	0.000000	0.000000	0	84775	0
107	13	1	1	0.000000	148.000000	146.076923	0.000000	0.000000	0	76	0
108	3	1	2	0.000000	273.333333	269.333333	0.000000	0.000000	0	136	0
109	54	2	1	0.000000	521.351852	374.185185	0.000000	0.000000	0	438	0
110	13	2	2	0.000000	641.461538	418.000000	0.000000	0.000000	0	362	0
111	12	1	1	0.000000	391.583333	389.500000	0.000000	0.000000	0	220	0
112	15	2	1	0.000000	262.800000	260.533333	0.000000	0.000000	0	142	0
113	5	1	1	0.000000	114.600000	114.600000	0.000000	0.000000	0	66	0
114	235872	1	2	0.000000	168.153566	0.147826	0.000000	0.000000	0	168245	0
115	19	1	2	0.000000	254.157895	252.263158	0.000000	0.000000	0	163	0
116	1	1	2	0.000000	376.000000	373.000000	0.000000	0.000000	0	201	0
117	1	1	2	0.000000	528.000000	523.000000	0.000000	0.000000	0	275	0
118	10	1	1	0.000000	114.500000	111.500000	0.000000	0.000000	0	74	0
119	15	2	2	0.000000	254.200000	252.800000	0.000000	0.000000	0	149	0
120	21	1	1	0.000000	114.761905	114.761905	0.000000	0.000000	0	71	0
121	26	2	2	0.000000	452.153846	379.423077	0.000000	0.000000	0	273	0
